Rep. Randy Weber|@TXRandy14
Rep. Cedric Richmond|@RepRichmond
Rep. William Lacy Clay|@LacyClayMO1
Rep. Jim Langevin|@jimlangevin
Rep. Jim Matheson|@RepJimMatheson
Rep. Rick Larsen|@RepRickLarsen
Rep. John Kline|@repjohnkline
Rep. Chellie Pingree|@chelliepingree
Sen. Bill Nelson|@SenBillNelson
Sen. Jeff Flake|@JeffFlake
Rep. Shelley Capito|@RepShelley
Sen. Maria Cantwell|@CantwellPress
Rep. Ami Bera|@RepBera
Rep. Rick Crawford|@RepRickCrawford
Rep. Suzan DelBene|@RepDelBene
Rep. Chuck Fleischmann|@RepChuck
Rep. Paul Gosar|@RepGosar
Rep. Trey Gowdy|@TGowdySC
Rep. Adam Kinzinger|@RepKinzinger
Rep. Billy Long|@USRepLong
Sen. Rand Paul|@SenRandPaul
Rep. Mike Pompeo|@RepMikePompeo
Rep. Martha Roby|@RepMarthaRoby
Rep. Terri Sewell|@RepTerriSewell
Rep. Ann Kuster|@RepAnnieKuster
Sen. Ted Cruz|@SenTedCruz
Rep. Tom Reed|@RepTomReed
Rep. Sean Duffy|@RepSeanDuffy
Rep. Scott Rigell|@RepScottRigell
Rep. Charlie Dent|@DentPressShop
Rep. Vicky Hartzler|@RepHartzler
Rep. James Renacci|@RepJimRenacci
Rep. Scott DesJarlais|@DesJarlaisTN04
Rep. Reid Ribble|@RepRibble
Rep. Bill Owens|@BillOwensNY
Rep. Lynn Jenkins|@RepLynnJenkins
Rep. Bill Flores|@RepBillFlores
Rep. Blake Farenthold|@farenthold
Rep. Andy Barr|@RepAndyBarr
Rep. Larry Bucshon|@RepLarryBucshon
Rep. Renee Ellmers|@RepReneeEllmers
Rep. Stephen Fincher|@RepFincherTN08
Rep. Tim Griffin|@RepTimGriffin
Rep. Michael Grimm|@repmichaelgrimm
Rep. Denny Heck|@RepDennyHeck
Rep. James Lankford|@RepLankford
Rep. Tom Marino|@RepTomMarino
Rep. David McKinley|@RepMcKinley
Rep. Keith Rothfus|@KRPA12
Rep. Jon Runyan|@RepJonRunyan
Rep. Steve Southerland II|@Rep_Southerland
Sen. Chris Coons|@ChrisCoons
Sen. Mike Lee|@SenMikeLee
Rep. William Keating|@USRepKeating
Rep. Janice Hahn|@Rep_JaniceHahn
Rep. Devin Nunes|@DevinNunes
Rep. Linda Sanchez|@RepLindaSanchez
Rep. Joaquin Castro|@JoaquinCastrotx
Rep. Jeff Miller|@RepJeffMiller
Rep. Jeb Hensarling|@RepHensarling
Rep. Robin Kelly|@RepRobinKelly
Rep. Michael Burgess|@michaelcburgess
Rep. John Carter|@JudgeCarter
Rep. Gus Bilirakis|@RepGusBilirakis
Rep. Michael Turner|@RepMikeTurner
Rep. Raul Grijalva|@RepRaulGrijalva
Rep. Joe Courtney|@RepJoeCourtney
Rep. Rob Bishop|@RepRobBishop
Rep. Doug LaMalfa|@DougLaMalfa
Rep. Kevin McCarthy|@GOPWhip
Rep. John Garamendi|@RepGaramendi
Rep. Frederica Wilson|@RepWilson
Rep. Bill Johnson|@RepBillJohnson
Rep. Lou Barletta|@RepLouBarletta
Rep. Colleen Hanabusa|@RepHanabusa
Sen. Brian Schatz|@brianschatz
Rep. C.A. Dutch Ruppersberger|@Call_Me_Dutch
Rep. Patrick McHenry|@PatrickMcHenry
Del. Madeleine Bordallo|@Congress
Rep. Jim Cooper|@repjimcooper
Rep. Timothy Bishop|@TimBishopNY
Rep. Marlin Stutzman|@RepStutzman
Rep. Trent Franks|@RepTrentFranks
Rep. Bill Huizenga|@RepHuizenga
Sen. John Barrasso|@SenJohnBarrasso
Rep. Jeff Duncan|@RepJeffDuncan
Rep. Dan Benishek|@CongressmanDan
Rep. Chris Gibson|@RepChrisGibson
Rep. Andy Harris|@RepAndyHarrisMD
Rep. Tom Graves|@RepTomGraves
Rep. Tom Cole|@tomcoleok04
Rep. Robert Pittenger|@RepPittenger
Rep. Todd Rokita|@ToddRokita
Rep. Rich Nugent|@RepRichNugent
Rep. Randy Hultgren|@RepHultgren
Sen. Ron Johnson|@SenRonJohnson
Rep. Blaine Luetkemeyer|@RepBlainePress
Rep. Randy Neugebauer|@RandyNeugebauer
Rep. John Barrow|@repjohnbarrow
Rep. Ted Poe|@JudgeTedPoe
Rep. Michael McCaul|@McCaulPressShop
Sen. Joe Donnelly|@SenDonnelly
Rep. Louie Gohmert|@replouiegohmert
Rep. K. Michael Conaway|@ConawayTX11
Rep. Karen Bass|@RepKarenBass
Rep. Aaron Schock|@aaronschock
Rep. Marc Veasey|@RepVeasey
Rep. Al Green|@RepAlGreen
Rep. Adrian Smith|@RepAdrianSmith
Rep. Patrick Meehan|@RepMeehan
